"grid_cell_NE","DEM_val","roads_val","NLCD_val","NLCD_label"
232,928.181030273438,21.3055763244629,5,"forest"
233,1613.66979980469,8.62068939208984,5,"forest"
234,1502.85876464844,7.60140895843506,5,"forest"
235,1301.69140625,12.8140325546265,5,"forest"
236,1103.89660644531,23.2294902801514,5,"forest"
237,996.638549804688,19.9091682434082,5,"forest"
238,861.678344726562,26.9181175231934,5,"forest"
239,673.624694824219,27.2803478240967,6,"shrubland"
240,471.354370117188,35.113883972168,5,"forest"
241,504.354095458984,57.1176414489746,5,"forest"
242,558.27880859375,27.850564956665,6,"shrubland"
243,628.518310546875,23.1915397644043,5,"forest"
244,689.758911132812,16.9066410064697,5,"forest"
245,770.650268554688,17.940465927124,5,"forest"
246,1050.40124511719,8.92435550689697,5,"forest"
247,1201.28833007812,27.7922592163086,5,"forest"
248,1112.94555664062,10.0972700119019,5,"forest"
249,1136.03588867188,8.65230464935303,5,"forest"
250,1119.35131835938,16.7008762359619,5,"forest"
251,1171.07653808594,20.8605442047119,5,"forest"
252,1183.02734375,1.57652425765991,5,"forest"
253,999.657470703125,6.37759304046631,5,"forest"
254,837.167297363281,33.8360176086426,5,"forest"
255,827.230895996094,21.4860668182373,5,"forest"
256,1011.66607666016,8.0610408782959,5,"forest"
257,1273.32409667969,9.17430305480957,5,"forest"
258,1312.86315917969,0.300394028425217,5,"forest"
259,1187.9296875,17.6483383178711,5,"forest"
260,1008.86364746094,31.5287418365479,5,"forest"
261,849.698303222656,21.6679630279541,5,"forest"
262,1610.37756347656,0,5,"forest"
263,1396.94128417969,6.73939561843872,5,"forest"
264,1241.90747070312,16.41455078125,5,"forest"
265,1093.2431640625,16.3358135223389,5,"forest"
266,1006.89459228516,16.1075248718262,5,"forest"
267,846.380859375,14.8908176422119,5,"forest"
268,590.968139648438,23.2379779815674,5,"forest"
269,564.424621582031,22.5928707122803,1,"water"
270,775.667297363281,17.7379417419434,5,"forest"
271,751.250427246094,18.0142955780029,5,"forest"
272,587.772216796875,24.5761795043945,5,"forest"
273,588.339294433594,101.883285522461,5,"forest"
274,712.304870605469,34.8896636962891,5,"forest"
275,905.211853027344,13.0919256210327,5,"forest"
276,1030.97827148438,19.5017375946045,5,"forest"
277,1040.02221679688,16.6025829315186,5,"forest"
278,1054.23278808594,19.443675994873,5,"forest"
279,1082.24963378906,25.0085048675537,5,"forest"
280,1198.27587890625,33.3883247375488,5,"forest"
281,1215.76647949219,22.6088409423828,5,"forest"
282,983.472534179688,15.7523612976074,5,"forest"
283,779.788879394531,15.375994682312,5,"forest"
284,760.748107910156,40.0847358703613,5,"forest"
285,943.188903808594,19.606071472168,5,"forest"
286,1252.02404785156,13.5429229736328,5,"forest"
287,1319.3720703125,12.9829769134521,5,"forest"
288,1105.83776855469,45.1020736694336,5,"forest"
289,967.611572265625,41.7432136535645,5,"forest"
290,895.219482421875,29.8094959259033,5,"forest"
291,1525.52990722656,3.01032209396362,5,"forest"
292,1506.21789550781,7.41565418243408,5,"forest"
293,1266.46899414062,17.4865264892578,5,"forest"
294,1217.61413574219,15.3024854660034,5,"forest"
295,1131.263671875,4.25645065307617,5,"forest"
296,766.997131347656,15.8190059661865,5,"forest"
297,534.302795410156,19.9919548034668,6,"shrubland"
298,809.806701660156,20.4523086547852,5,"forest"
299,1146.9765625,10.9966926574707,5,"forest"
300,1052.82385253906,9.00456523895264,5,"forest"
